id,text
0,Cuadrilla files to delay application to frack in Lancashire
1,Royal Mail chairman Donald Brydon set to step down
2,UPDATE 2-EasyJet sees better first half on lower fuel bill
3,Slump in Weir leads FTSE down from record high
4,AstraZeneca wins FDA approval for key new lung cancer pill
5,Sainsbury chief warns of squeeze on high street retailers
6,UPDATE 1-Lloyds to cut 945 jobs as part of 3-year restructuring plan
7,Primark plots expansion in US and Europe
8,Standard Chartered Shifts Emerging-Markets Strategy After Losses
9,Barclays fined for anti-money-laundering failings
10,UPDATE 3-Barclays fined for lax crime checks in 'deal of century'
11,Easyjet targets business travellers with new perks
12,AstraZeneca's Lung Cancer Drug Tagrisso Gets FDA Approval
13,GSK aims to file up to 20 new drugs for approval by 2020
14,Severn Trent share price rises as first half profit inches up as customer ...
15,Prudential knocked after investors withdraw Â£3.9bn from M&G
16,CompaniesUnited Utilities H1 profits just miss expectations
17,Glencore sees Tripoli-based NOC as sole legal seller of Libyan oil
18,Lloyds to cut 945 jobs as part of three-year restructuring strategy
19,AstraZeneca to Buy ZS Pharma for $2.7 Billion
20,AstraZeneca to Buy ZS Pharma for $2.7 Billion
21,"Ackman, in email, says supports Valeant CEO Pearson"
22,Severn Trent profit up as customer complaints fall
23,Experian says receives class actions related to T-Mobile breach
24,AstraZeneca sells US drug rights to Perrigo for $380 mln
25,AstraZeneca sells US drug rights to Perrigo for $380 mln
26,Landlord Hammerson's NAV rises on increased leasing activity
27,CompaniesNational Grid lines up sale of gas business
28,"UPDATE 1-AstraZeneca buys ZS Pharma for $2.7 billion, pips Actelion"
29,"UPDATE 1-AstraZeneca buys ZS Pharma for $2.7 billion, pips Actelion"
30,CORRECTED-Shire to buy Dyax for about $5.9 bln
31,CORRECTED-Shire to buy Dyax for about $5.9 bln
32,British American Tobacco accused of bribing senior politicians to sabotage ...
33,"UPDATE 2-AB InBev launches SAB bid, to sell MillerCoors stake"
34,Germany lags European share rally as Volkswagen scandal widens
35,AstraZeneca Acquires ZS Pharma in $2.7 Billion Deal
36,AstraZeneca Acquires ZS Pharma in $2.7 Billion Deal
37,AstraZeneca shares climb 3% as drug maker ups profits forecasts
38,Peroni and Grolsch put up for sale as AB InBev plans acquisition of SABMiller
39,Peroni and Grolsch put up for sale as AB InBev plans acquisition of SABMiller
40,Randgold Resources third quarter profit slips despite record production
41,easyJet expects resilient demand to withstand security fears
42,Compass Group says positive for year ahead
43,"Associated British Foods Profit Hit by Strong Sterling, Tough Sugar Business"
44,Prudential hit by withdrawals from M&G investment arm
45,Bunzl Lifts Dividend Again As Acquisitions Continue To Boost Profits
46,BAE Systems cuts earnings target for 2015 and 370 jobs
47,US dollar wipes out sales gains for SABMiller
48,"UPDATE 1-SABMiller 2nd-quarter underlying sales rise, forex impacts margins"
49,"AB InBev launches SAB bid, to sell MillerCoors stake"
50,Barclays settles with US investors over Libor manipulation
51,UPDATE 2-Pricey beers lift SABMiller's quarterly underlying sales
52,Valeant CEO Pledges to Heed Critics After `Painful' Experience
53,"Are Aviva plc, Direct Line Insurance Group PLC And Admiral Group plc Set To Soar?"
54,"Are Aviva plc, Direct Line Insurance Group PLC And Admiral Group plc Set To Soar?"
55,"Are Aviva plc, Direct Line Insurance Group PLC And Admiral Group plc Set To Soar?"
56,StanChart and RBS struggle in Bank of England stress tests
57,StanChart and RBS struggle in Bank of England stress tests
58,"Bunzl backs 2015 view, buys more businesses"
59,REFILE-UPDATE 4-Britain's Lloyds to pay first dividend since rescue
60,Standard Chartered may see white knight takeover on painful recovery: CLSA
61,Barclays sells benchmark indices unit to Bloomberg
62,Barclays sells benchmark indices unit to Bloomberg
63,L&G strikes Â£230m bulk annuity deal
64,"Sainsbury's, Asda, Tesco and Morrisons will all cut petrol prices as oil falls ..."
65,"Sainsbury's, Asda, Tesco and Morrisons will all cut petrol prices as oil falls ..."
66,"Sainsbury's, Asda, Tesco and Morrisons will all cut petrol prices as oil falls ..."
67,"Sainsbury's, Asda, Tesco and Morrisons will all cut petrol prices as oil falls ..."
68,StanChart may see white knight takeover on painful recovery - CLSA
69,"EU drops Shell, BP, Statoil from ethanol benchmark investigation"
70,"EU drops Shell, BP, Statoil from ethanol benchmark investigation"
71,"EU drops Shell, BP, Statoil from ethanol benchmark investigation"
72,CompaniesMorrison evicted from FTSE 100 as Worldpay joins
73,Bloomberg buys Barclays' benchmarking business
74,Barclays in $13.75 million US settlement over mutual funds
75,CompaniesLord Livingston joins Dixons Carphone
76,Tesco UK personnel director quits supermarket
77,AstraZeneca Explores Potential Deal With Acerta for Cancer Drug
78,AstraZeneca Explores Potential Deal With Acerta for Cancer Drug
79,Companies Severn Trent expects costs hit from inflation
80,Lawmakers worry AB InBev beer deal will hurt craft brewers
81,Companies raise less money on London Stock Exchange in 2015
82,Clydesdale and Yorkshire moves closer to independence
83,Clydesdale and Yorkshire moves closer to independence
84,Brazil Vale says will appeal ruling to block assets for dam burst
85,BP set to cut hundreds of jobs at North Sea operations
86,Buffett Embarrassed by 'Thumb-Sucking' on Exit of Tesco Stake
87,Shell Opens Natural Gas Wells Off Irish Coast
88,GlaxoSmithKline acquires HIV assets
89,BHP Billiton to lower copper production costs
90,US DOJ antitrust unit subpoenas Mylan over pricing of doxycycline
91,AstraZeneca chases Acerta to secure next cancer drug winner
92,AstraZeneca chases Acerta to secure next cancer drug winner
93,Tesco investors non-plussed by John Allan as chairman - he's no Archie Norman ...
94,CompaniesTesco off to a bad start over Xmas â€“ Kantar
95,AstraZeneca in Talks to Buy Cancer Drug Developer Acerta Pharma
96,Royal Mail Fined Â£40m After French Probe
97,"DBS, Julius Baer emerge as potential bidders for Barclays Asia wealth unit ..."
98,"DBS, Julius Baer emerge as potential bidders for Barclays Asia wealth unit ..."
99,Why AstraZeneca plc & Dixons Carphone PLC Are Red-Hot Growth Stars!
100,Why AstraZeneca plc & Dixons Carphone PLC Are Red-Hot Growth Stars!
101,BBCN Bancorp to buy Wilshire Bancorp in $1 bln deal
102,BBCN Bancorp to buy Wilshire Bancorp in $1 bln deal
103,ITV share price jumps on report of Comcast's NBCUniversal bidding to takeover ...
104,ITV share price jumps on report of Comcast's NBCUniversal bidding to takeover ...
105,Osborne extends Lloyds sell-off plan
106,FTSE boosted by Dixons Carphone with Fed in focus
107,Industry NewsBarclays to 'cut investment bank staff by another 20%'
108,"RBS Investment Bank to Return to Profit After Overhaul, CEO Says"
109,BHP's iron ore outlook holds little cheer for small miners
110,Exclusive - StanChart axes senior bankers in energy M&A team: sources
111,Glencore Studies Possible IPO for Agricultural Trading Business
112,Can Christmas Save Sainsbury's plc And Tesco plc?
113,Can Christmas Save Sainsbury's plc And Tesco plc?
114,UPDATE 1-AstraZeneca boosts respiratory unit with $575 mln Takeda deal
115,UPDATE 1-AstraZeneca boosts respiratory unit with $575 mln Takeda deal
116,How Lloyds Banking Group PLC Could Double Your Money By 2018
117,ITV merger reports boost Footsie stocks
118,Che Banca! CEO says Barclays buy to lift profit from 2016-17
119,UK Christmas power demand to be lowest in 16 years â€“ National Grid
120,Bilfinger Industrial Services win Â£100m BP contract extension
121,Bilfinger Industrial Services win Â£100m BP contract extension
122,"Standard Chartered, RBS Escape Capital Raising in Stress Test"
123,"Standard Chartered, RBS Escape Capital Raising in Stress Test"
124,Pfizer to cut 120 jobs with closure of Cambridge R&D centre
125,Lloyds wins right to buy bonds back early to save 1 billion pounds
126,UPDATE 3-Barclays sells Italian branches to Mediobanca at a loss
127,AstraZeneca weighing up Acerta bid to secure blood cancer drug
128,AstraZeneca weighing up Acerta bid to secure blood cancer drug
129,GlaxoSmithKline set to complete $20 billion Novartis asset swap next week
130,GlaxoSmithKline set to complete $20 billion Novartis asset swap next week
131,Sir Ken Morrison has taken a Â£6m stake in rival Sainsbury's
132,2 Turnaround Buys For 2016? BHP Billiton plc And Home Retail Group Plc
133,2 Turnaround Buys For 2016? BHP Billiton plc And Home Retail Group Plc
134,L&G completes UK's largest medically underwritten bulk pension risk deal
135,Glencore increases debt reduction and cuts spending
136,Meggitt share price tumbles as profit falls in 'challenging year'
137,Drugmaker Shire to buy Baxalta for $32 billion after 6-month pursuit
138,Drugmaker Shire to buy Baxalta for $32 billion after 6-month pursuit
139,Early victory for new CEO as Morrisons beats forecasts
140,Kingfisher share price slides on cost to implement new strategy
141,CompaniesKingfisher sliding despite promise of Â£600m capital return
142,Shire says internal synergy goals from Baxalta deal higher
143,Shire says internal synergy goals from Baxalta deal higher
144,Shell's profits hit by further slide in oil prices
145,AO World shares tumble on profit warning
146,"European shares plunge, roiled by BHP and oil; hopes turn to ECB"
147,BP to slash 4000 jobs globally as oil prices drop
148,UK supermarket group Morrisons cuts fresh food prices
149,Shropshire and Mid Wales trains to be hit again in new strike by Arriva drivers
150,Shropshire and Mid Wales trains to be hit again in new strike by Arriva drivers
151,Morrisons and Debenhams surprise City with Christmas bounce back
152,Morrisons and Debenhams surprise City with Christmas bounce back
153,Direct Line expects claims of Â£110-140 million from three storms
154,RBS Shares Drop After Surprise Pension Charge Cuts Capital
155,Aberdeen sees more investors pull cash in the December quarter
156,StanLife leads FTSE after strong earnings
157,"Britain's FTSE falls back with Ashtead, commodities under pressure"
158,Tesco shares jump 6% after Christmas sales beat expectations
159,"BHP Billiton half-year profit falls, beats forecasts"
160,CompaniesHome Retail trims gains but is considered 'in play'
161,Sainsbury's pressed to raise bid for Home Retail Group
162,Philippines' San Miguel says to partner with Kirin if it bids for SABMiller's ...
163,Philippines' San Miguel says to partner with Kirin if it bids for SABMiller's ...
164,Philippines' San Miguel says to partner with Kirin if it bids for SABMiller's ...
165,Investors Remain Skeptical About Shell-BG Deal
166,Investors Remain Skeptical About Shell-BG Deal
167,Tesco is torn apart as watchdog finds supermarket repeatedly withheld payments from suppliers
168,UK regulators license BAT e-cigarette as quit-smoking medicine
169,MarketsShire up 2.5% and Baxalta up 6% on $32bn deal
170,MarketsShire up 2.5% and Baxalta up 6% on $32bn deal
171,SunRay Cuts Jobs as New Hampshire Reaches Cap on Solar Incentive
172,No pay hikes this year at Rio Tinto as mining slump bites
173,Diageo offloads major wine interests
174,Shire share price under pressure after $32bn Baxalta deal
175,Shire share price under pressure after $32bn Baxalta deal
176,"Prudential capital ratio beats forecasts, confirms UK head"
177,U.S. Oil-Worker Strike Reaches BP Plants With Talks on Hold
178,SSE faces profiteering accusations despite 5.3% cut in gas charges
179,Trading ExpertBROKER RECOMMENDATIONSUBS ups RBS to 'buy' as it re-initiates coverage on UK banks
180,Shares in BAE Systems hit 10-month high on rating upgrade
181,Japan's Asahi to submit bid next week for SABMiller's Grolsch and Peroni - Yomiuri
182,Japan's Asahi to submit bid next week for SABMiller's Grolsch and Peroni - Yomiuri
183,Why I Would Put J Sainsbury plc In My Trolley Before Wm Morrison Supermarkets ...
184,Trading ExpertBROKER RECOMMENDATIONSAnalysts mostly negative on Aberdeen but some see value
185,CompaniesDixons Carphone to close 134 UK stores as sales jump
186,Should You Buy Royal Dutch Shell Plc After Its Q4 'Update'?
187,LPC-Glencore launches refinancing of US$8.45bn loan
188,Glencore launches refinancing of credit line
189,UPDATE 1-LPC-Glencore launches refinancing of US$8.45bn loan
190,LPC-Glencore launches refinancing of $8.45billion loan
191,RBS breaks with past by tearing investment bank apart
192,Shell share price: Standard Life announce position against BG acquisition
193,Shell share price: Standard Life announce position against BG acquisition
194,Shell share price: Standard Life announce position against BG acquisition
195,Tesco share price down as grocer faces SFO investigation outcome
196,"Britain's FTSE outperforms Europe, Royal Mail and Tesco rise"
197,"Britain's FTSE outperforms Europe, Royal Mail and Tesco rise"
198,"Barclays, Deutsche Bank Fight to Lift Profit Just Got Harder"
199,"Barclays, Deutsche Bank Fight to Lift Profit Just Got Harder"
200,Unilever returns to Cuba in joint venture with state
201,Unilever head's resignation sparks spinoff talk
202,Standard Chartered CEO Peter Sands to Resign After Unrest at Bank
203,Smith & Nephew 2015 trading profit beats expectations
204,Greene King's third quarter sales boosted by festive season
205,Randgold Resources Q4 Profit Decreases - Quick Facts
206,CompaniesPetrofac earnings battered by North Sea project losses
207,BT Group's third quarter revenues rise as restructure unveiled
208,Indy future in doubt as Johnston Press lines up deal for 'i'
209,BP shares tumble after $2.2bn fourth-quarter loss
210,ARM Royalties Accelerate as Smartphone Market Regains Strength
211,BHP Billiton says no settlement yet on Brazil dam disaster
212,Hargreaves Landown slides on trading update
213,Glencore shares hit 3-month high after refinancing key credit line
214,BP reports biggest ever annual loss
215,AstraZeneca says new lung cancer pill Tagrisso approved by EU
216,InterContinental Hotels Group share price climbs on $1.5bn special dividend
217,Amazon to attack UK grocery market with Morrisons deal
218,Amazon to attack UK grocery market with Morrisons deal
219,Warren Buffett's Berkshire Hathaway quarterly profit jumps almost one third
220,Genel Shares Plunge After Tony Hayward's Oil Explorer Cuts Crude Reserves at Core Field
221,AstraZeneca share price: Acerta deal pays off with orphan drug status
222,AstraZeneca share price: Acerta deal pays off with orphan drug status
223,"BHP Billiton posts big loss, slashes dividend"
224,"Should You Buy Jumbo Yielders British American Tobacco plc, Centrica PLC & John Wood Group PLC?"
225,"Should You Buy Jumbo Yielders British American Tobacco plc, Centrica PLC & John Wood Group PLC?"
226,"Should You Buy Jumbo Yielders British American Tobacco plc, Centrica PLC & John Wood Group PLC?"
227,AstraZeneca agrees licensing deal for Plendil in China
228,Glencore posts 5.7 pct fall in Q4 copper output
229,ARM shrugs off smartphone slowdown as newer designs win share
230,"UPDATE 1-BP reports worst annual loss in at least 20 years, cuts more jobs"
231,Glaxo Sees Hope for Respiratory Drugs as Earnings Beat Estimates
232,"Glencore to refinance its short-term debt early, shares rise"
233,Is Trouble Brewing At Legal & General Group Plc And Aviva plc?
234,Is Trouble Brewing At Legal & General Group Plc And Aviva plc?
235,BHP Billiton drags FTSE lower after slashing dividend
236,"BHP Billiton slashes dividend, posts $5.67 billion net loss"
237,CompaniesMeggitt profits hit by weak energy and military markets
238,Royal Mail share price edges lower as group raises stamp price
239,"Glencore Cuts 2015 Budget, Plans To Divest From Lonmin"
240,"Glencore Cuts 2015 Budget, Plans To Divest From Lonmin"
241,"Industry NewsRevenue, earnings take a tumble at Weir Group"
242,"Rio Tinto swings to loss, drops dividend policy"
243,France raises concerns over proposed LSE-Deutsche Boerse deal
244,France raises concerns over proposed LSE-Deutsche Boerse deal
245,BAE Systems banks on US defence spending to fix sales slide
246,HSBC Posts Surprise Fourth-Quarter Pretax Loss of $858 Million
247,MarketsBP promotes upstream boss to deputy CEO
248,Legal & General share price: Finance chief to step down
249,CompaniesAstraZeneca shares hit as 2016 revenue forecast to fall
250,Lloyds Banking Group reports 7% dip in annual profits
251,UPDATE 3-Buffett's Berkshire raises oil bet with Kinder Morgan stake
252,Associated British Foods raises guidance as sterling wilts
253,Centrica urges policy overhaul as it warns of 'looming gap' in UK energy supplies
254,Arm profits and sales up as shift away from mobile gains pace
255,CompaniesGlencore shares hit 3-month high after refinancing key credit line
256,CompaniesCoutts raids JPMorgan Chase for new CEO
257,"FastJet slams EasyJet founder Stelios for going public, is taking legal advice"" over letter about contractual ..."""
258,NYSE owner ICE considers offer for LSE
259,NYSE owner ICE considers offer for LSE
260,Admiral and Schroders lift FTSE with profits surge
261,News FeedFTSE 100 movers: LSE surges as ICE says mulling offer; Ashtead and Barclays tank
262,News FeedFTSE 100 movers: LSE surges as ICE says mulling offer; Ashtead and Barclays tank
263,News FeedFTSE 100 movers: LSE surges as ICE says mulling offer; Ashtead and Barclays tank
264,News FeedFTSE 100 movers: LSE surges as ICE says mulling offer; Ashtead and Barclays tank
265,London Stock Exchange boosts FTSE on new bid hopes
266,Balfour Beatty plc Set To Reinstate Dividend (And Rival National Grid plc And Centrica PLC Once More?)
267,Balfour Beatty plc Set To Reinstate Dividend (And Rival National Grid plc And Centrica PLC Once More?)
268,Balfour Beatty plc Set To Reinstate Dividend (And Rival National Grid plc And Centrica PLC Once More?)
269,"Britain's FTSE buoyed by Admiral, building sector gains"
270,Legal & General's capital update outweighs profit rise
271,Industry NewsStrong results at Travis Perkins marred by plumbing impairment
272,Intertek swings to Â£347 mln loss on oil's slump
273,GlaxoSmithKline's CEO Witty to bow out in March 2017
274,"Militants fire rockets at Algerian BP/Statoil gas plant, no casualties"
275,"Militants fire rockets at Algerian BP/Statoil gas plant, no casualties"
276,Britain's FTSE advances as investors cheer Kingfisher results
277,Tesco breaks its downward slide by cutting sales decline in half
278,BP ends 27-year sponsorship of Tate as falling oil price takes toll
279,"News FeedSchroders books solid earnings growth, several board changes"
280,London Stock Exchange seals Â£22 billion merger with Germany's Deutsche BÃ¶rse
281,London Stock Exchange seals Â£22 billion merger with Germany's Deutsche BÃ¶rse
282,Tullow Oil Suspends Dividend Amid Oil Price Fall
283,AB InBev to Sell SABMiller Stake in China's Snow Beer
284,AB InBev to Sell SABMiller Stake in China's Snow Beer
285,LSE-Deutsche Boerse merger would signal end to exchange mega-deals
286,LSE-Deutsche Boerse merger would signal end to exchange mega-deals
287,"Can Standard Chartered PLC, BP plc & Burberry Group plc Keep Charging?"
288,Closely watched AstraZeneca cancer drug fails in mesothelioma
289,CompaniesSanofi poaches immunology expert from AstraZeneca
290,Barclays To Pay Ousted Boss Â£500000 Bonus
291,Clinigen chosen by AstraZeneca to manage access programme for next ...
292,Dividends Unleashed At Royal Bank of Scotland Group plc
293,US subpoenas Volkswagen under bank fraud law in emissions probe: source
294,Shell CEO van Beurden's remuneration fell in 2015
295,Aviva posts forecast-beating 2015 operating profit of $3.8 bln
296,Industry NewsWolseley confident in reslilience amid mixed markets
297,HSBC money laundering report's release delayed amid US appeal
298,Old Mutual share price: Wealth unit seen as blue-chip company
299,Standout performer' JS Jacques picked to lead Rio Tinto
300,BP's fine for 2010 oil spill capped at $13.7 billion
301,"Britain's FTSE steadies below record high, BHP gains"
302,Italy Probes Shell's Role in Purchase of Nigerian Oil Block
303,Barclays reports 8% fall in annual profits
304,Tesco criticised for 'disgraceful' advert showing domestic worker being slapped
305,"Glencore swings to loss, will sell more assets"
306,US urges final approval of $20 billion BP oil spill pact
307,FTSE edges up as investors cheer Kingfisher results
308,CompaniesMetro Bank raises Â£400m ahead of London listing
309,Berkshire Hathaway's 4Q profit declines 17 percent
310,Barclays Bonds Rise as Lender Cuts Dividends to Shore Up Capital
311,Sports Direct boss Mike Ashley summoned to Westminster for questioning over the treatment of workers
312,Britain's FTSE gets lift from Prudential results
313,Aggreko says first half profits will be lower as the oil price rout claims its latest victim
314,Novo Nordisk and AstraZeneca seek tonic from key drug trials
315,Novo Nordisk and AstraZeneca seek tonic from key drug trials
316,Amazon's grocery deal with Morrisons is only the beginning
317,Amazon's grocery deal with Morrisons is only the beginning
318,Industry NewsWhitbread sales sink in fourth quarter on Costa slowdown
319,Industry NewsWhitbread sales sink in fourth quarter on Costa slowdown
320,Industry NewsPetrofac secures $250m North Sea contract
321,"Oil majors like Royal Dutch Shell, Chevron, BP fail to find reserves to counter ..."
322,"Oil majors like Royal Dutch Shell, Chevron, BP fail to find reserves to counter ..."
323,"Oil majors like Royal Dutch Shell, Chevron, BP fail to find reserves to counter ..."
324,Reaching New Depths: Glencore's $5bn Loss
325,"Old Mutual to split up, may list some businesses"
326,ICE Said to Start Lining Up Financing for LSE Bidding War
327,ICE Said to Start Lining Up Financing for LSE Bidding War
328,"BP, Statoil, to Withdraw Staff From Algeria Following Rocket Attack"
329,"BP, Statoil, to Withdraw Staff From Algeria Following Rocket Attack"
330,Kingfisher share price: FY statutory pre-tax profit falls 20.5%
331,WPP Chief Projects Tough Ad Market as Customers Avoid Risks
332,Merkel's Government Said to Support Deutsche Boerse-LSE Merger
333,Merkel's Government Said to Support Deutsche Boerse-LSE Merger
334,Who will make the perfect match in Morrisons' bizarre love triangle?
335,Aggreko 2015 Profit Declines - Quick Facts
336,Big account wins keep ad group WPP at front of pack
337,Aviva weighs cash handout after beating profit forecast
338,"WPP, World's Largest Ad Agency, Reports Strong 2015 Growth"
339,UPDATE 1-Britain's Tullow says makes new oil find in Kenya
340,Bunzl delivers small profit increase for 2014
341,"Saudi Aramco, Shell plan to break up Motiva, divide up assets"
342,"Saudi Aramco, Shell plan to break up Motiva, divide up assets"
343,AstraZeneca sells US gout drug rights to Ironwood for up to $265 million
344,AB InBev to sell more SAB assets as seeks EU deal approval
345,AB InBev to sell more SAB assets as seeks EU deal approval
346,AstraZeneca share price: Company to carve out antibiotic R&D unit into separate ...
347,BP sees Q1 earnings slide as low oil prices take their toll
348,UK builders' merchant Travis Perkins reports strong start to year
349,Tesco's Sales Pickup Isn't Enough
350,BP Reports $583 Million Loss in First Quarter
351,Dyson Wants to Create a Hair Dryer Revolution
352,AB InBev offers to sell some SABMiller brands
353,Banco BPI Says Deal for Angolan Unit Has Collapsed
354,Glencore sells agri unit stake for $2.5 billion to Canadian pension fund
355,Spain's CaixaBank Expects To Close Deal For Banco BPI
356,Spain's CaixaBank Expects To Close Deal For Banco BPI
357,ITV share price: Group mulls takeover of Canada's Entertainment One
